question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Creatinine in blood is used clinically as a marker of:,GFR / renal function,Liver synthetic function,Thyroid status,Pancreatic enzymes,A,"Creatinine is produced from muscle at a fairly constant rate and is excreted by glomerular filtration. Rising serum creatinine means falling GFR. It is not perfect (varies with muscle mass, delayed rise after acute injury) but it is the standard exam answer. Urea also rises in renal failure but is affected by protein meal, GI bleed and hydration. Liver function uses bilirubin, albumin, INR, enzymes.",Expected - RRB Nursing Superintendent | Physiology - Renal
The refractory period of cardiac muscle is long. This is useful because it:,Allows tetanus of the heart like skeletal muscle,Makes the ECG flat,Prevents tetanus and allows filling between beats,Stops the SA node forever,C,Cardiac muscle has a long absolute refractory period lasting almost the whole contraction. Therefore it cannot be tetanized and the heart can relax and fill. Skeletal muscle has a short refractory period and can tetanize for a smooth lift. Premature stimuli in the relative refractory period can cause serious arrhythmias (R-on-T). This is a classic physiology MCQ.,Expected - RRB Nursing Superintendent | Physiology - CVS
Chemoreceptors in the carotid body are most sensitive to:,High blood glucose,Low urine output,High thyroxine,Fall in arterial PO2 (and also high PCO2 / low pH),D,"Peripheral chemoreceptors in carotid and aortic bodies fire when PaO2 falls (especially below 60 mmHg), and also respond to hypercapnia and acidosis. They raise ventilation and sympathetic activity. Central chemoreceptors mainly sense CO2 via CSF pH. In a patient with PaO2 45 mmHg, expect tachypnoea unless the respiratory centre is depressed.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Oedema forms when:,Lymphatics work extra well,Plasma oncotic pressure is high and hydrostatic pressure is low,Sodium is completely absent from the body,Capillary hydrostatic pressure rises or plasma oncotic pressure falls,D,"Starling forces: fluid leaves capillaries if hydrostatic pressure is high (heart failure, venous obstruction) or oncotic pressure is low (hypoalbuminemia), or if the vessel is leaky (inflammation), or if lymph drainage fails. Sodium and water retention worsen oedema. Nursing: daily weight, salt restriction as ordered, elevation of legs, skin care, and treat the cause—not just the swelling.",Expected - RRB Nursing Superintendent | Physiology - Body fluids
Which of the following best describes a hypotonic IV fluid's effect on cells?,No water movement,Water enters cells and they may swell,Water leaves cells and they shrink,Cells immediately burst in all cases without exception,B,"Hypotonic fluid (e.g. 0.45% saline) has lower osmolality than ICF, so water enters cells. Use carefully in raised ICT (can worsen cerebral oedema). Hypertonic fluid (3% saline, mannitol) pulls water out of cells—used for hyponatremic seizures or brain swelling under specialist protocols. Isotonic fluids (0.9% saline, RL) stay largely in ECF. Always match the fluid to the physiology.",Expected - RRB Nursing Superintendent | Physiology - Body fluids
The normal adult haemoglobin level is approximately:,12-16 g/dL (sex-dependent),5-7 g/dL,8-9 g/dL,22-25 g/dL,A,"Typical values: men about 13-17 g/dL, women 12-15 g/dL, pregnant women lower because of haemodilution. Newborns have higher Hb (14-20 g/dL). WHO often uses 11 g/dL as anaemia cut-off in pregnancy. Below 7 g/dL in late pregnancy, transfusion is often considered. Interpret with MCV to type anaemia (microcytic iron deficiency vs macrocytic B12/folate).",Expected - RRB Nursing Superintendent | Physiology - Blood
Which plasma ion is the major determinant of ECF osmolality?,Calcium,Potassium,Phosphate,Sodium,D,"Calculated osmolality is roughly 2 x Na + glucose/18 + urea/2.8 (when glucose and urea are in mg/dL). Sodium dominates the formula. That is why hyponatremia usually means low plasma osmolality and a risk of cerebral oedema. Hyperglycemia also raises osmolality and causes osmotic diuresis. Measured minus calculated osmolality is the osmolar gap (alcohols, mannitol).",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
During inspiration the diaphragm:,Relaxes and moves up,Only the abdominal muscles contract,Does not move,"Contracts and moves down, increasing thoracic volume",D,"Contraction of the diaphragm increases vertical thoracic diameter, intrapleural pressure becomes more negative, and air flows in. Elastic recoil and diaphragmatic relaxation drive quiet expiration (passive). Accessory muscles (SCM, scalene) appear in respiratory distress—an important nursing observation. Phrenic nerve injury causes paradoxical abdominal movement.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
The dicrotic notch on the aortic pressure curve is due to:,Atrial contraction,Aortic valve closure,SA node firing,Mitral valve opening,B,"When the aortic valve closes at the start of diastole, a brief pressure oscillation (dicrotic notch) appears on the aortic trace. It corresponds in timing to S2. Arterial lines in ICU show this notch; its loss can mean severe vasodilation or tracing damping. This is applied CVS physiology for critical-care nursing questions.",Expected - RRB Nursing Superintendent | Physiology - CVS
Which of the following increases oxygen unloading to tissues (right shift of O2 curve)?,Carbon monoxide poisoning,"Alkalosis, hypothermia, low 2,3-BPG",Fetal haemoglobin compared to adult in the same conditions,"Acidosis, hypercapnia, fever, high 2,3-BPG",D,"Right shift (Bohr): acidosis, high CO2, high temperature, high 2,3-BPG → Hb gives up O2 more easily in working tissues. Left shift (alkaline, cold, low 2,3-BPG, CO, HbF) holds O2 tighter. CO poisoning is dangerous because it binds Hb strongly and left-shifts remaining Hb. Treat CO with 100% oxygen. Store-banked blood is low in 2,3-BPG until regenerated.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Gastric emptying is slowed by:,Drinking water in a healthy stomach always instantly,Gastrin only speeding emptying without exception,Fat in the duodenum (enterogastric reflex / CCK),Complete absence of any hormones,C,"Fat, acid and hypertonic chyme in the duodenum release CCK and secretin and trigger the enterogastric reflex, slowing gastric emptying so the small bowel is not overwhelmed. That is why fatty meals sit longer in the stomach and why diabetic gastroparesis causes bloating. Metoclopramide speeds emptying (prokinetic). In a trauma patient, a full stomach raises aspiration risk at intubation.",Expected - RRB Nursing Superintendent | Physiology - Digestive
Which statement about fever and heart rate is generally true?,Fever never affects pulse,Heart rate falls 20 beats per degree C,Heart rate rises about 10 beats/min per 1°C rise in temperature,Pulse becomes zero,C,"Liebermeister's rule: pulse rises roughly 8-10 beats/min for each 1°C of fever because of increased BMR and sympathetic drive. Relative bradycardia in fever (pulse-temperature dissociation) hints at typhoid, some viral diseases or drugs (beta-blockers). Always correlate pulse with temperature when assessing tachycardia.",Expected - RRB Nursing Superintendent | Physiology - Temperature
Which of the following is an example of positive feedback?,Insulin lowering glucose which then stops insulin a little,Baroreceptor slowing of heart when BP is high,TSH inhibition by thyroxine,Oxytocin release during labour increasing more uterine contraction and more oxytocin,D,"Positive feedback amplifies a process until an endpoint: stretch of cervix → oxytocin → stronger contractions → more stretch, until the baby is delivered. Blood clotting is another (thrombin makes more thrombin). Negative feedback stabilizes (thyroid, insulin, baroreceptors). Uncontrolled positive feedback would be dangerous; labour has a natural stop (delivery).",Expected - RRB Nursing Superintendent | Physiology - Endocrine
The juxtaglomerular apparatus senses sodium chloride at the:,Macula densa of the distal tubule,Renal pelvis only,Urethra,Adrenal medulla,A,"Macula densa cells in the thick ascending limb/DCT sense NaCl delivery. Low NaCl → renin release from nearby JG cells (tubuloglomerular feedback also dilates the afferent arteriole to raise GFR). This links salt, volume and GFR. Loop diuretics act nearby and can stimulate renin. A favourite diagram-based physiology question.",Expected - RRB Nursing Superintendent | Physiology - Renal
Which blood component is primarily responsible for humoral immunity?,Erythrocytes,B lymphocytes (plasma cells making antibodies),Osteocytes,Platelets,B,"B cells become plasma cells that secrete antibodies (humoral immunity). T cells handle cellular immunity (helper, cytotoxic). RBCs carry oxygen; platelets clot. After splenectomy, encapsulated bacteria are dangerous because antibody-coated bacteria are less well cleared—vaccinate these patients. This links physiology to community and MSN infection questions.",Expected - RRB Nursing Superintendent | Physiology - Immunity
Plasma colloid osmotic pressure is mainly due to:,Urea,Glucose,Albumin,Sodium,C,"Although sodium determines total osmolality, the colloid (oncotic) pressure that holds fluid in vessels comes from plasma proteins, especially albumin, which cannot freely cross the capillary. That is why hypoalbuminemia causes oedema even if sodium is normal. Crystalloids (saline) raise hydrostatic volume but do not provide oncotic pressure like albumin or blood products.",Expected - RRB Nursing Superintendent | Physiology - Body fluids
Which event occurs first in the cardiac cycle after SA node firing?,Isovolumetric ventricular relaxation,Aortic valve opening immediately,Atrial depolarization and contraction,Ventricular ejection,C,"SA node → atrial depolarization (P wave) → atrial contraction (atrial systole) tops up the ventricle (about 20-30% of filling, the 'atrial kick'). Then the ventricle depolarizes (QRS), AV valves close, isovolumetric contraction, ejection, then relaxation. In AF the atrial kick is lost, which matters in stiff ventricles (elderly, mitral stenosis).",Expected - RRB Nursing Superintendent | Physiology - CVS
Maximum water reabsorption in the nephron occurs in the:,Proximal convoluted tubule,Collecting duct only,Bowman capsule,Ureter,A,"About 65-70% of filtered water and Na+ is reabsorbed isosmotically in the PCT, along with all glucose and amino acids (in health). The loop creates the medullary gradient; ADH controls the last water in the collecting duct. That is why PCT damage (acute tubular injury) causes loss of water and electrolytes. Mannitol acts as an osmotic diuretic mainly by remaining in the tubule lumen.",Expected - RRB Nursing Superintendent | Physiology - Renal
Which of the following best describes dead space ventilation?,Alveoli with perfusion but no ventilation,Normal tidal volume,Ventilation that does not participate in gas exchange,Only the residual volume,C,"Dead space gas is ventilated but not perfused, so it does not exchange O2/CO2. Anatomical dead space is the airway; alveolar dead space is ventilated alveoli without blood flow (e.g. PE). Shunt is the opposite: perfusion without ventilation (atelectasis). V/Q matching is the core of respiratory physiology for ABG interpretation.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Insulin deficiency causes all except:,Ketoacidosis in type 1 DM,Glycogen synthesis in liver as the main effect,Osmotic diuresis and polyuria,Hyperglycemia,B,"Insulin promotes glycogenesis; its deficiency does the opposite: glycogenolysis, gluconeogenesis, lipolysis, ketogenesis, hyperglycemia. Glucose in urine causes osmotic diuresis (polyuria) and then polydipsia. Type 1 patients can develop DKA. So glycogen synthesis is an insulin effect, not an insulin-deficiency effect. Nursing: never stop insulin in type 1 even if not eating—adjust dose and give carbohydrate.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
